"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Open Login Page","SUCCESS","2022-11-04T21:37:23.6614053+07:00[Asia/Jakarta]","0.0","15.78"
"Login","Login with username and password","SUCCESS","2022-11-04T21:37:39.4776161+07:00[Asia/Jakarta]","0.0","111.24"
"Logout","Logout","SUCCESS","2022-11-04T21:39:30.7404831+07:00[Asia/Jakarta]","0.0","31.71"
"Add Product to Cart","Add Product to Cart","SUCCESS","2022-11-04T21:40:02.4693904+07:00[Asia/Jakarta]","0.0","17.07"
"Register","Open Register Page","SUCCESS","2022-11-04T21:40:19.5487498+07:00[Asia/Jakarta]","0.0","13.77"
"Register","Register with new email","SUCCESS","2022-11-04T21:40:33.3423427+07:00[Asia/Jakarta]","0.0","21.94"
"Register","Register with username and email","SUCCESS","2022-11-04T21:40:55.2942421+07:00[Asia/Jakarta]","0.0","105.57"
