"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Open Login Page","SUCCESS","2022-11-04T20:17:34.9413222+07:00[Asia/Jakarta]","0.0","19.01"
"Login","Login with username and password","SUCCESS","2022-11-04T20:17:54.048853+07:00[Asia/Jakarta]","0.0","115.29"
"Logout","Logout","SUCCESS","2022-11-04T20:19:49.4522355+07:00[Asia/Jakarta]","0.0","56.11"
"Add Product to Cart","Add Product to Cart","SUCCESS","2022-11-04T20:20:45.6054324+07:00[Asia/Jakarta]","0.0","17.23"
"Register","Open Register Page","SUCCESS","2022-11-04T20:21:02.8507492+07:00[Asia/Jakarta]","0.0","14.51"
"Register","Register with new email","SUCCESS","2022-11-04T20:21:17.3728512+07:00[Asia/Jakarta]","0.0","23.37"
"Register","Register with username and email","SUCCESS","2022-11-04T20:21:40.7793033+07:00[Asia/Jakarta]","0.0","104.86"
